"動作区分/Behavior Type","フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not Compatible Fields"
"Attribute","ACCOUNT_ID","アカウントID","Account ID","accountID","LONG",
"Attribute","ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING",
"Attribute","CAMPAIGN_ID","キャンペーンID","Campaign ID","campaignID","LONG",
"Attribute","CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING",
"Attribute","ADGROUP_ID","広告グループID","Ad Group ID","adgroupID","LONG",
"Attribute","ADGROUP_NAME","広告グループ名","Ad Group Name","adgroupName","STRING",
"Attribute","AD_ID","広告ID","Ad ID","adID","LONG",
"Attribute","AD_NAME","広告名","Ad Name","adName","STRING",
"Attribute","AD_TYPE","広告タイプ","Ad Type","adType","STRING",
"Segment","URL_ID","リンク先URLID","Destination URL ID","destinationURLID","LONG",
"Segment","URL_NAME","リンク先URL","Destination URL","destinationURL","STRING",
"Segment","PREF_ID","都道府県ID","Prefecture ID","prefectureID","STRING","[INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS, VIEWABLE_IMPS]"
"Segment","PREF_NAME","都道府県","Prefectures","prefecture","STRING","[INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS, VIEWABLE_IMPS]"
"Segment","CITY_ID","市区郡ID","City ID","cityID","STRING","[INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS, VIEWABLE_IMPS]"
"Segment","CITY_NAME","市区郡","City","city","STRING","[INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS, VIEWABLE_IMPS]"
"Segment","WARD_ID","行政区ID","Ward ID","wardID","STRING","[INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS, VIEWABLE_IMPS]"
"Segment","WARD_NAME","行政区","Ward","ward","STRING","[INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS, VIEWABLE_IMPS]"
"Segment","GENDER","性別","Gender","gender","STRING","[INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS, VIEWABLE_IMPS]"
"Segment","AGE","年齢","Age","age","STRING","[INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS, VIEWABLE_IMPS]"
"Segment","MONTH","月","Month","month","STRING",
"Segment","DAY","日","Daily","day","STRING",
"Segment","HOUR","時間","Hourly","hourofday","LONG",
"Attribute","DELIVER","広告掲載方式","Ad Distribution","deliverName","STRING",
"Segment","DEVICE","デバイス","Device","device","STRING",
"Segment","AD_STYLE","掲載フォーマット（画像タイプ）","Ad Style (Image Type)","adStyle","STRING",
"Segment","MEDIA_ID","メディアID","Media ID","mediaID","STRING",
"Segment","MEDIA_NAME","メディア名","Media Name","mediaName","STRING",
"Segment","MEDIA_FILE_NAME","ファイル名","File Name","fileName","STRING",
"Segment","MEDIA_AD_FORMAT","ピクセルサイズ","Pixel Size","pixelSize","STRING",
"Attribute","AD_TITLE","タイトル","Title","title","STRING",
"Attribute","DESCRIPTION1","説明文1","Description 1","description1","STRING",
"Attribute","DESCRIPTION2","説明文2","Description 2","description2","STRING",
"Attribute","DISPLAY_URL","表示URL","Display URL","displayURL","STRING",
"Segment","SEARCHKEYWORD_ID","サーチキーワードID","Search Keyword ID","searchKeywordID","LONG",
"Segment","SEARCHKEYWORD","サーチキーワード","Search Keyword","searchKeyword","STRING",
