"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not Compatible Fields","動作区分/Behavior Type"
"MONTH","月","Month","month","STRING",,"Segment"
"DAY","日","Daily","day","STRING",,"Segment"
"HOUR","時間","Hourly","hourofday","LONG",,"Segment"
"CAMPAIGN_LABEL_ID","キャンペーンラベルID","Campaign label ID","campaignLabelID","LONG","[ADGROUP_LABEL, ADGROUP_LABEL_ID, AD_LABEL, AD_LABEL_ID]","Attribute"
"CAMPAIGN_LABEL","キャンペーンラベル","Campaign label","campaignLabel","STRING","[ADGROUP_LABEL, ADGROUP_LABEL_ID, AD_LABEL, AD_LABEL_ID]","Attribute"
"ADGROUP_LABEL_ID","広告グループラベルID","Ad group label ID","adGroupLabelID","LONG","[AD_LABEL, AD_LABEL_ID, CAMPAIGN_LABEL, CAMPAIGN_LABEL_ID]","Attribute"
"ADGROUP_LABEL","広告グループラベル","Ad group label","adGroupLabel","STRING","[AD_LABEL, AD_LABEL_ID, CAMPAIGN_LABEL, CAMPAIGN_LABEL_ID]","Attribute"
"AD_LABEL_ID","広告ラベルID","Ad label ID","adLabelID","LONG","[ADGROUP_LABEL, ADGROUP_LABEL_ID, CAMPAIGN_LABEL, CAMPAIGN_LABEL_ID]","Attribute"
"AD_LABEL","広告ラベル","Ad label","adLabel","STRING","[ADGROUP_LABEL, ADGROUP_LABEL_ID, CAMPAIGN_LABEL, CAMPAIGN_LABEL_ID]","Attribute"
"IMPS","インプレッション数","Impressions","impressions","LONG",,"Metric"
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE",,"Metric"
"COST","コスト","Cost","cost","DOUBLE",,"Metric"
"CLICK","クリック数","Clicks","clicks","LONG",,"Metric"
"AVG_CPC","平均CPC","Avg. CPC","avgCpc","DOUBLE",,"Metric"
"AVG_DELIVER_RANK","平均掲載順位","Avg. position","avgPosition","DOUBLE",,"Metric"
"TOTAL_VIEWABLE_IMPS","メジャードインプレッション数（旧）","Measured impressions (previous)","measurableImpressionsPrevious","LONG",,"Metric"
"VIEWABLE_IMPS","ビューアブルインプレッション数","Viewable impressions","viewableImpressions","LONG",,"Metric"
"INVIEW_RATE","ビューアブルインプレッション率（旧）","Viewable impression rate (previous)","viewableImpressionRatePrevious","DOUBLE",,"Metric"
"INVIEW_CLICK","ビューアブルクリック数（旧）","Viewable clicks (previous)","viewableClicksPrevious","LONG",,"Metric"
"INVIEW_CLICK_RATE","ビューアブルクリック率（旧）","Viewable CTR (previous)","viewableCtrPrevious","DOUBLE",,"Metric"
"AVG_CPV","平均CPV","Avg. CPV","avgCpv","DOUBLE",,"Metric"
"VIDEO_VIEWS_TO_25","動画の25%再生数","25% video views","videoViewsTo25","LONG",,"Metric"
"VIDEO_VIEWS_TO_50","動画の50%再生数","50% video views","videoViewsTo50","LONG",,"Metric"
"VIDEO_VIEWS_TO_75","動画の75%再生数","75% video views","videoViewsTo75","LONG",,"Metric"
"VIDEO_VIEWS_TO_95","動画の95%再生数","95% video views","videoViewsTo95","LONG",,"Metric"
"VIDEO_VIEWS_TO_100","動画の100%再生数","100% video views","videoViewsTo100","LONG",,"Metric"
"AVG_PERCENT_VIDEO_VIEWED","動画の平均再生開始率","Avg. video view rate","avgVideoViewRate","DOUBLE",,"Metric"
"AVG_DURATION_VIDEO_VIEWED","動画の平均再生時間（秒）","Avg. duration of video viewed","avgDurationOfVideoViewed","DOUBLE",,"Metric"
"VIDEO_VIEWS","動画の再生開始数","Video views","videoViews","LONG",,"Metric"
"PAID_VIDEO_VIEWS","課金が発生した動画再生数（CPV課金キャンペーンのみ）","Paid video views (CPV)","paidVideoViewsCPV","LONG",,"Metric"
"PAID_VIDEO_VIEW_RATE","課金が発生した動画再生率（CPV課金キャンペーンのみ）","Paid video view rate (CPV)","paidVideoViewRateCPV","DOUBLE",,"Metric"
"VIDEO_VIEWS_TO_3_SEC","動画の3秒再生数","3 sec video views","videoViewsTo3sec","LONG",,"Metric"
"CONVERSIONS","コンバージョン数","Conversions","conversions","LONG",,"Metric"
"CONV_RATE","コンバージョン率","Conv. rate","convRate","DOUBLE",,"Metric"
"COST_PER_CONV","コスト/コンバージョン数","Cost/conv.","costPerConv","DOUBLE",,"Metric"
"CONV_VALUE","コンバージョンの価値","Conv. value","convValue","LONG",,"Metric"
"VALUE_PER_CONV","コンバージョンの価値/コンバージョン数","Conv. value/conv.","convValuePerConv","DOUBLE",,"Metric"
"ALL_CONV","コンバージョン数（全て）","Conversions (all)","ConversionsAll","LONG",,"Metric"
"ALL_CONV_RATE","コンバージョン率（全て）","Conv. rate (all)","convRateAll","DOUBLE",,"Metric"
"COST_PER_ALL_CONV","コスト/コンバージョン数（全て）","Cost/conv. (all)","costPerConvAll","DOUBLE",,"Metric"
"ALL_CONV_VALUE","コンバージョンの価値（全て）","Conv. value (all)","convValueAll","LONG",,"Metric"
"VALUE_PER_ALL_CONV","コンバージョンの価値（全て）/コンバージョン数（全て）","Conv. value (all)/conv. (all)","convValueAllPerConvAll","DOUBLE",,"Metric"
"CONVERSIONS_VIA_AD_CLICK","コンバージョン数（クリック経由）","Conversions (via click)","conversionsViaClick","LONG",,"Metric"
"CONVERSION_RATE_VIA_AD_CLICK","コンバージョン率（クリック経由）","Conv. rate (via click)","convRateViaClick","DOUBLE",,"Metric"
"COST_PER_CONV_VIA_AD_CLICK","コスト/コンバージョン数（クリック経由）","Cost/conv. (via click)","costPerConvViaClick","DOUBLE",,"Metric"
"CONV_VALUE_VIA_AD_CLICK","コンバージョンの価値（クリック経由）","Conv. value (via click)","convValueViaClick","LONG",,"Metric"
"VALUE_PER_CONV_VIA_AD_CLICK","コンバージョンの価値（クリック経由）/コンバージョン数（クリック経由）","Conv. value (via click)/conv. (via click)","convValueViaClickPerConvViaClick","DOUBLE",,"Metric"
"CROSS_DEVICE_CONVERSIONS","クロスデバイスコンバージョン数","Cross-device conv.","crossDeviceConv","LONG",,"Metric"
"CONV_VALUE_PER_COST","コンバージョンの価値/コスト","Conv. value/cost","convValuePerCost","DOUBLE",,"Metric"
"ALL_CONV_VALUE_PER_COST","コンバージョンの価値（全て）/コスト","Conv. value (all)/cost","convValueAllPerCost","DOUBLE",,"Metric"
"CONV_VALUE_VIA_AD_CLICK_PER_COST","コンバージョンの価値（クリック経由）/コスト","Conv. value (via click)/cost","convValueViaClickPerCost","DOUBLE",,"Metric"
"IMPS_PREV","インプレッション数（旧）","Impressions (previous)","impressionsPrevious","LONG",,"Metric"
"CLICK_RATE_PREV","クリック率（旧）","CTR (previous)","ctrPrevious","DOUBLE",,"Metric"
"AVG_CPM","平均CPM","Avg. CPM","avgCpm","DOUBLE",,"Metric"
"AVG_VCPM","平均vCPM","Avg. vCPM","avgVCpm","DOUBLE",,"Metric"
"MEASURED_IMPS","メジャードインプレッション数","Measured impressions","measuredImpressions","LONG",,"Metric"
"VIEWABLE_CLICK","ビューアブルクリック数","Viewable clicks","viewableClicks","LONG",,"Metric"
"MEASURED_IMPS_RATE","メジャードインプレッション測定率","Measured impression rate","measuredImpressionRate","DOUBLE",,"Metric"
