"フィールド名/fieldName","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not compatible fields"
"ACCOUNT_ID","アカウントID","Account ID","accountID","LONG",
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING",
"CAMPAIGN_ID","キャンペーンID","Campaign ID","campaignID","LONG",
"CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING",
"ADGROUP_ID","広告グループID","Ad Group ID","adgroupID","LONG",
"ADGROUP_NAME","広告グループ名","Ad Group Name","adgroupName","STRING",
"DAY","日","Daily","day","STRING",
"DELIVER","広告掲載方式","Ad Distribution","deliverName","STRING",
"DEVICE","デバイス","Device","device","STRING",
"DELIVER_URL","配信先URL","Ad Delivery URL","adDeliveryURL","STRING",
"CONVERSION_LABEL","コンバージョンラベル名","Conversion Name","conversionName","STRING","[AVG_CPC, CLICK, CLICK_RATE, CONVERSION_RATE_OLD, CONV_RATE, COST, COST_PER_CONV, CPA_OLD, IMPS]"
"CONVERSION_CATEGORY","コンバージョン測定の目的","Objective of Conversion Tracking","objectiveOfConversionTracking","STRING","[AVG_CPC, CLICK, CLICK_RATE, CONVERSION_RATE_OLD, CONV_RATE, COST, COST_PER_CONV, CPA_OLD, IMPS]"
"CARRIER","キャリア","Carrier","carrier","STRING",
"OS","OS","OS","os","STRING",
"APPLI","ウェブ/アプリ","Web/App","appli","STRING",
"IMPS","インプレッション数","Impressions","impressions","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"COST","コスト","Cost","cost","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"CLICK","クリック数","Clicks","clicks","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"AVG_CPC","平均CPC","Avg. CPC","averageCpc","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"CONVERSION_OLD","コンバージョン数（旧）","Conversions (old)","totalConversionsOld","LONG",
"CONVERSION_RATE_OLD","コンバージョン率（旧）","Conversion Rate (old)","totalConversionRateOld","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"CPA_OLD","コスト/コンバージョン数（旧）","Cost per Conversions (old)","costTotalConversionsOld","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"REVENUE_OLD","合計売上金額（旧）","Revenue (old)","totalRevenueOld","LONG",
"REVENUE_CONVERSION_OLD","売上/コンバージョン数（旧）","Revenue per Conversions (old)","revenueTotalConversionOld","DOUBLE",
"CONVERSIONS","コンバージョン数","Conversions","conversions","LONG",
"CONV_RATE","コンバージョン率","Conversion Rate","convRate","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"COST_PER_CONV","コスト/コンバージョン数","Cost per Conversions","costPerConv","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"REVENUE","合計売上金額","Revenue","revenue","LONG",
"REVENUE_PER_CONV","売上/コンバージョン数","Revenue per Conversions","revenuePerConv","LONG",
