"フィールド名/fieldName","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not compatible fields"
"ACCOUNT_ID","アカウントID","Account ID","accountID","LONG","[]"
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING","[]"
"CAMPAIGN_ID","キャンペーンID","Campaign ID","campaignID","LONG","[]"
"CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING","[]"
"ADGROUP_ID","広告グループID","Ad Group ID","adgroupID","LONG","[]"
"ADGROUP_NAME","広告グループ名","Ad Group Name","adgroupName","STRING","[]"
"DAY","日","Daily","day","STRING","[]"
"DELIVER","広告掲載方式","Ad Distribution","deliverName","STRING","[]"
"DEVICE","デバイス","Device","device","STRING","[]"
"DELIVER_URL","配信先URL","Ad Delivery URL","adDeliveryURL","STRING","[]"
"CONVERSION_LABEL","コンバージョンラベル名","Conversion Name","conversionName","STRING","[""IMPS"",""CLICK_RATE"",""COST"",""CLICK"",""AVG_CPC"",""CONVERSION_RATE"",""CPA""]"
"CONVERSION_CATEGORY","コンバージョン測定の目的","Objective of Conversion Tracking","objectiveOfConversionTracking","STRING","[""IMPS"",""CLICK_RATE"",""COST"",""CLICK"",""AVG_CPC"",""CONVERSION_RATE"",""CPA""]"
"CARRIER","キャリア","Carrier","carrier","STRING","[]"
"OS","OS","OS","os","STRING","[]"
"APPLI","ウェブ/アプリ","Web/App","appli","STRING","[]"
"IMPS","インプレッション数","Impressions","impressions","LONG","[""CONVERSION_LABEL"",""CONVERSION_CATEGORY""]"
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE","[""CONVERSION_LABEL"",""CONVERSION_CATEGORY""]"
"COST","コスト","Cost","cost","LONG","[""CONVERSION_LABEL"",""CONVERSION_CATEGORY""]"
"CLICK","クリック数","Clicks","clicks","LONG","[""CONVERSION_LABEL"",""CONVERSION_CATEGORY""]"
"AVG_CPC","平均CPC","Avg. CPC","averageCpc","DOUBLE","[""CONVERSION_LABEL"",""CONVERSION_CATEGORY""]"
"CONVERSION","総コンバージョン数","Total Conversions","totalConversions","LONG","[]"
"CONVERSION_RATE","総コンバージョン率","Total Conversion Rate","totalConversionRate","DOUBLE","[""CONVERSION_LABEL"",""CONVERSION_CATEGORY""]"
"CPA","コスト/総コンバージョン数","Cost / Total Conversions","costTotalConversions","DOUBLE","[""CONVERSION_LABEL"",""CONVERSION_CATEGORY""]"
"REVENUE","合計売上金額","Total Revenue","totalRevenue","LONG","[]"
"REVENUE_CONVERSION","売上/総コンバージョン数","Rev. / Total Conversions","revenueTotalConversion","LONG","[]"
